Sample	s_name	totalpairs	discardpairs	percdiscard	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913104_1	ERR6913104_1	305303	0	0.0	257022	342	47939	84.3
ERR6913131_1	ERR6913131_1	1106408	0	0.0	662460	870	443078	59.95
ERR6913132_1	ERR6913132_1	1129092	0	0.0	755883	722	372487	67.01
ERR6913133_1	ERR6913133_1	883888	0	0.0	515734	464	367690	58.4
ERR6913134_1	ERR6913134_1	87387	0	0.0	61616	180	25591	70.72
ERR6913200_1	ERR6913200_1	696167	0	0.0	593424	935	101808	85.38
ERR6913227_1	ERR6913227_1	1311628	0	0.0	1211365	1731	98532	92.49
ERR6913228_1	ERR6913228_1	1149384	0	0.0	1010513	2319	136552	88.12
ERR6913229_1	ERR6913229_1	1324485	0	0.0	1189288	1419	133778	89.9
ERR6913230_1	ERR6913230_1	313114	0	0.0	289207	508	23399	92.53
