Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-perccombo	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
ERR6913104_1	11.206339828634214	54.0	125.22809143703141	0.0	305303.0	84.3	
ERR6913104_2	11.082076704513113	54.0	125.21386950013593	10.0	305303.0		
ERR6913131_1	6.453352651357207	43.0	141.3034106767124	0.0	1106408.0	59.95	
ERR6913131_2	6.387436134810514	43.0	141.29438868844042	0.0	1106408.0		
ERR6913132_1	9.211607081580865	47.0	139.80683770675907	0.0	1129092.0	67.01	
ERR6913132_2	9.09496987767551	47.0	139.80107821151864	0.0	1129092.0		
ERR6913133_1	11.270061689518911	57.0	141.62624337020074	10.0	883888.0	58.4	
ERR6913133_2	11.026348867613947	57.0	141.6285819017794	10.0	883888.0		
ERR6913134_1	10.626294528934508	43.0	137.5446691155435	0.0	87387.0	70.72	
ERR6913134_2	10.531314726446723	43.0	137.5216336526028	0.0	87387.0		
ERR6913200_1	59.02708374836137	51.0	132.33036613341338	10.0	696167.0	85.38	
ERR6913200_2	58.5895435928165	51.0	132.32118730132282	10.0	696167.0		
ERR6913227_1	57.8298611056145	50.0	132.09969061349713	10.0	1311628.0	92.49	
ERR6913227_2	57.634402956715995	50.0	132.0971906668659	10.0	1311628.0		
ERR6913228_1	15.155129339422558	46.0	130.962853145685	0.0	1149384.0	88.12	
ERR6913228_2	14.994768343147172	46.0	130.95293913957389	0.0	1149384.0		
ERR6913229_1	47.014938657852724	48.0	133.6597167955847	0.0	1324485.0	89.9	
ERR6913229_2	46.876566778720075	48.0	133.6565155513275	0.0	1324485.0		
ERR6913230_1	30.889341272644927	50.0	121.94098635001949	0.0	313114.0	92.53	
ERR6913230_2	30.81080649110808	50.0	121.93833236457009	0.0	313114.0		
akarlsson_bowtie_merged2PhiX							0.0
akarlsson_bowtie_merged2SC2							0.07
